subject_id,domain,chest,heart,reo,recon,pipeline
fCMR_Philips_067,Philips,Train,Train,Train,,False
fCMR_Philips_040,Philips,Train,,,,False
fCMR_Philips_100,Philips,Train,Train,Train,,False
fCMR_Philips_119,Philips,Train,Train,Train,,False
fCMR_Philips_108,Philips,Train,,,,False
fCMR_Philips_099,Philips,Train,Train,Train,,False
fCMR_Philips_098,Philips,Train,,,,False
fCMR_Philips_017,Philips,Train,Train,Train,,False
fCMR_Philips_103,Philips,Train,,,,False
fCMR_Philips_111,Philips,Train,Train,Train,,False
fCMR_Philips_097,Philips,Test,Test,Test,,False
fCMR_Philips_086,Philips,Train,Train,Train,,False
fCMR_Philips_134,Philips,Train,Train,Train,,False
fCMR_Philips_019,Philips,Train,Train,Train,,False
fCMR_Philips_043,Philips,Train,Train,Train,,False
fCMR_Philips_010,Philips,Train,Train,Train,,False
fCMR_Philips_138,Philips,Test,Test,,,False
fCMR_Philips_137,Philips,Train,Train,Train,,False
fCMR_Philips_033,Philips,Train,Train,,,False
fCMR_Philips_035,Philips,Train,,,,False
fCMR_Philips_007,Philips,Train,Train,Train,,False
fCMR_Philips_023,Philips,Train,,,,False
fCMR_Philips_050,Philips,Train,Train,Train,,False
fCMR_Philips_135,Philips,Train,Train,Train,,False
fCMR_Philips_070,Philips,Test,Test,Test,,False
fCMR_Philips_133,Philips,Train,Train,Train,,False
fCMR_Philips_141,Philips,Train,Train,Train,,False
fCMR_Philips_078,Philips,Train,Train,Train,,False
fCMR_Philips_068,Philips,Test,Test,Test,,False
fCMR_Philips_028,Philips,Train,Train,Train,,False
fCMR_Philips_042,Philips,Train,Train,Train,,False
fCMR_Philips_124,Philips,Train,Train,,,False
fCMR_Philips_130,Philips,Train,Train,Train,,False
fCMR_Philips_110,Philips,Train,Train,Train,,False
fCMR_Philips_036,Philips,Train,Train,Train,,False
fCMR_Philips_071,Philips,Train,Train,Train,,False
fCMR_Philips_001,Philips,Train,Train,Train,,False
fCMR_Philips_055,Philips,Train,Train,,,False
fCMR_Philips_024,Philips,Train,,,,False
fCMR_Philips_074,Philips,Train,Train,,,False
fCMR_Siemens_132,Siemens,Train,Train,Train,,False
fCMR_Siemens_185,Siemens,Train,Train,,,False
fCMR_Siemens_018,Siemens,Test,Test,Test,,False
fCMR_Siemens_058,Siemens,Train,Train,Train,,False
fCMR_Siemens_187,Siemens,Test,,,,False
fCMR_Siemens_073,Siemens,Train,Train,,,False
fCMR_Siemens_069,Siemens,Train,Train,Train,,False
fCMR_Siemens_063,Siemens,Train,Train,Train,,False
fCMR_Siemens_197,Siemens,Train,,,,False
fCMR_Siemens_049,Siemens,Train,Train,Train,,False
fCMR_Siemens_011,Siemens,Test,,,,False
fCMR_Siemens_059,Siemens,Train,,,,False
fCMR_Siemens_078,Siemens,Train,Train,Train,,False
fCMR_Siemens_044,Siemens,Train,,,,False
fCMR_Siemens_102,Siemens,Train,Train,Train,,False
fCMR_Siemens_111,Siemens,Train,Train,Train,,False
fCMR_Siemens_183,Siemens,Train,,,,False
fCMR_Siemens_128,Siemens,Train,Train,Train,,False
fCMR_Siemens_110,Siemens,Train,,,,False
fCMR_Siemens_161,Siemens,,,,,True
fCMR_Siemens_028,Siemens,Train,,,,False
fCMR_Siemens_130,Siemens,Test,,,,False
fCMR_Siemens_083,Siemens,Train,,,,False
fCMR_Siemens_043,Siemens,Train,,,,False
fCMR_Siemens_065,Siemens,Train,,,,False
fCMR_Siemens_066,Siemens,Train,,,,False
fCMR_Siemens_025,Siemens,Train,Train,Train,,False
fCMR_Siemens_113,Siemens,Test,Test,Test,,False
fCMR_Siemens_054,Siemens,Train,Train,Train,,False
fCMR_Siemens_001,Siemens,Train,,Train,,False
fCMR_Siemens_027,Siemens,,Test,Test,,False
fCMR_Siemens_048,Siemens,,,Train,,False
fCMR_Siemens_060,Siemens,,Train,Train,,False
fCMR_Siemens_097,Siemens,,,,,True
fCMR_Siemens_052,Siemens,,,Train,,False
fCMR_Siemens_192,Siemens,,,,,True
fCMR_Siemens_014,Siemens,,,,,True
fCMR_Siemens_079,Siemens,,,Train,,False
fCMR_Siemens_178,Siemens,,,,,Excluded
fCMR_Siemens_032,Siemens,,,,,True
fCMR_Siemens_106,Siemens,,,,,True
fCMR_Siemens_061,Siemens,,,,,True
fCMR_Siemens_120,Siemens,,Train,Train,,False
fCMR_Siemens_055,Siemens,,,,,True
fCMR_Siemens_133,Siemens,,,,,True
fCMR_Siemens_016,Siemens,,,,,True
fCMR_Siemens_081,Siemens,,,Train,,False
fCMR_Siemens_007,Siemens,,,,,True
fCMR_Siemens_100,Siemens,,,,,Excluded
fCMR_Siemens_180,Siemens,,,,,True
fCMR_Siemens_146,Siemens,,,,,True
fCMR_Siemens_087,Siemens,,,,,True
fCMR_Siemens_147,Siemens,,,,,True
fCMR_Siemens_035,Siemens,,,,,True
fCMR_Siemens_062,Siemens,,,,,True
fCMR_Siemens_023,Siemens,,Train,Train,,False
fCMR_Siemens_089,Siemens,,,,,Excluded
fCMR_Siemens_199,Siemens,,,,,True
fCMR_Siemens_107,Siemens,,,,,True
fCMR_Siemens_036,Siemens,,,,,True
fCMR_Siemens_047,Siemens,,,,,Excluded
fCMR_Siemens_039,Siemens,,,,,True
fCMR_Siemens_118,Siemens,,,,,Excluded
fCMR_Siemens_151,Siemens,,,,,True
fCMR_Siemens_093,Siemens,,,,,True
fCMR_Siemens_029,Siemens,,,,True,False
fCMR_Siemens_101,Siemens,,,,,Excluded
fCMR_Siemens_166,Siemens,,,,,True
fCMR_Siemens_006,Siemens,,,Test,True,False
fCMR_Siemens_158,Siemens,,Train,Train,True,False
fCMR_Siemens_019,Siemens,,,,True,False
fCMR_Siemens_179,Siemens,,,,True,False
fCMR_Siemens_021,Siemens,,,,True,False
fCMR_Siemens_092,Siemens,,Train,Train,True,False
fCMR_Siemens_143,Siemens,,,,True,False
fCMR_Siemens_176,Siemens,,,,,True
fCMR_Siemens_189,Siemens,,,Train,True,False
fCMR_Siemens_193,Siemens,,,,True,False
fCMR_Siemens_037,Siemens,,,,,True
fCMR_Siemens_046,Siemens,,,,,True
fCMR_Siemens_129,Siemens,,,,,True
fCMR_Siemens_114,Siemens,,Train,Train,,False
fCMR_Siemens_144,Siemens,,,Test,,False
fCMR_Siemens_139,Siemens,,,Train,,False
fCMR_Siemens_090,Siemens,,Train,Train,,False
fCMR_Siemens_068,Siemens,,Test,Test,,False
fCMR_Siemens_168,Siemens,,Train,Train,,False
fCMR_Siemens_020,Siemens,,,Train,,False
fCMR_Siemens_031,Siemens,,,,,True
fCMR_Siemens_088,Siemens,,Train,Train,,False
fCMR_Siemens_152,Siemens,,Train,Train,,False
fCMR_Siemens_117,Siemens,,,Train,,False
fCMR_Siemens_198,Siemens,,Test,Test,,False
fCMR_Siemens_136,Siemens,,,,,True
fCMR_Siemens_053,Siemens,,,,,True
fCMR_Siemens_170,Siemens,,Train,Train,,False
fCMR_Siemens_115,Siemens,,,,,True
fCMR_Siemens_034,Siemens,,,,,True
fCMR_Siemens_033,Siemens,,,,,True
fCMR_Siemens_186,Siemens,,,,,True
fCMR_Siemens_163,Siemens,,,,,True
fCMR_Siemens_070,Siemens,,,,,True
fCMR_Siemens_015,Siemens,,,,,True
fCMR_Siemens_084,Siemens,,,,,True
fCMR_Siemens_075,Siemens,,,,,True
fCMR_Siemens_140,Siemens,,,,,True
fCMR_Siemens_137,Siemens,,,,,True
fCMR_Siemens_013,Siemens,,,,,True
fCMR_Siemens_157,Siemens,,,,,True
fCMR_Siemens_127,Siemens,,,,,True
fCMR_Siemens_126,Siemens,,,,,True
fCMR_Siemens_051,Siemens,,,,,True
fCMR_Siemens_155,Siemens,,,,,True
fCMR_Siemens_024,Siemens,,,,,True
fCMR_Siemens_008,Siemens,,,,,Excluded
fCMR_Siemens_190,Siemens,,,,,True
fCMR_Siemens_096,Siemens,,,,,True
fCMR_Siemens_156,Siemens,,,,,True
fCMR_Siemens_148,Siemens,,,,,True
fCMR_Siemens_108,Siemens,,,,,True
fCMR_Siemens_040,Siemens,,,,,True
fCMR_Siemens_009,Siemens,,,,,Excluded
fCMR_Siemens_159,Siemens,,,,,True
fCMR_Siemens_134,Siemens,,,,,True
fCMR_Siemens_074,Siemens,Train,Train,Train,,False
fCMR_Philips_049,Philips,Train,,,,False
fCMR_Philips_117,Philips,Test,Test,Test,,False
fCMR_Philips_046,Philips,Train,Train,Train,,False
fCMR_Philips_091,Philips,Train,Train,Train,,False
fCMR_Philips_034,Philips,Train,Train,Train,,False
fCMR_Philips_012,Philips,Train,Train,Train,,False
fCMR_Philips_080,Philips,Train,Train,Train,,False
fCMR_Philips_106,Philips,Train,Train,Train,,False
fCMR_Philips_002,Philips,Test,Test,Test,,False
fCMR_Philips_032,Philips,Train,Train,Train,,False
fCMR_Philips_052,Philips,Test,Test,Test,,False
fCMR_Philips_085,Philips,Train,Train,Train,,False
fCMR_Philips_004,Philips,Train,Train,,,False
fCMR_Philips_123,Philips,Test,Test,Test,,False
fCMR_Philips_056,Philips,Train,Train,Train,,False
fCMR_Philips_013,Philips,Train,Train,Train,,False
fCMR_Philips_079,Philips,Test,Test,Test,,False
fCMR_Philips_140,Philips,Train,Train,Train,,False
fCMR_Philips_066,Philips,Train,Train,Train,,False
fCMR_Philips_105,Philips,,Train,,,False
fCMR_Philips_061,Philips,Train,Train,Train,,False
fCMR_Philips_005,Philips,Train,Train,Train,,False
fCMR_Philips_115,Philips,Train,Train,Train,,False
fCMR_Philips_116,Philips,Train,Train,Train,,False
fCMR_Philips_064,Philips,Train,Train,Train,,False
fCMR_Philips_030,Philips,Train,,,,False
fCMR_Philips_018,Philips,Train,Train,Train,,False
fCMR_Philips_093,Philips,Train,Train,Train,,False
fCMR_Philips_125,Philips,Train,Train,Train,,False
fCMR_Philips_120,Philips,Train,Train,Train,,False
fCMR_Philips_083,Philips,Train,Train,Train,,False
fCMR_Philips_121,Philips,Train,Train,Train,,False
fCMR_Philips_016,Philips,Train,Train,Train,,False
fCMR_Philips_081,Philips,Train,Train,Train,,False
fCMR_Philips_021,Philips,Train,Train,Train,,False
fCMR_Siemens_064,Siemens,,,,,True
fCMR_Siemens_099,Siemens,,,,,True
fCMR_Siemens_012,Siemens,,,,,True
fCMR_Siemens_119,Siemens,,,,,Excluded
fCMR_Siemens_103,Siemens,,,,,True
fCMR_Siemens_042,Siemens,,,,,True
fCMR_Siemens_175,Siemens,,,,,True
fCMR_Siemens_142,Siemens,,,,,True
fCMR_Siemens_082,Siemens,,,,,True
fCMR_Siemens_085,Siemens,,,,,Excluded
fCMR_Siemens_004,Siemens,,,,,True
fCMR_Siemens_010,Siemens,,,,,True
fCMR_Siemens_112,Siemens,,,,,True
fCMR_Siemens_122,Siemens,,,,,True
fCMR_Siemens_067,Siemens,,,,,True
fCMR_Siemens_188,Siemens,,,,,True
fCMR_Siemens_154,Siemens,,,,,True
fCMR_Siemens_086,Siemens,,,,,True
fCMR_Siemens_162,Siemens,,,,,True
fCMR_Siemens_045,Siemens,,,,,True
fCMR_Siemens_104,Siemens,,,,,True
fCMR_Siemens_091,Siemens,,,,,True
fCMR_Siemens_123,Siemens,,,,,True
fCMR_Siemens_121,Siemens,,,,,True
fCMR_Siemens_138,Siemens,,,,,True
fCMR_Siemens_131,Siemens,,,,,True
fCMR_Siemens_191,Siemens,,,,,True
fCMR_Siemens_095,Siemens,,,,,True
fCMR_Siemens_171,Siemens,,,,,True
fCMR_Siemens_017,Siemens,,,,,Excluded
fCMR_Siemens_124,Siemens,,,,,Excluded
fCMR_Siemens_098,Siemens,,,,,True
fCMR_Siemens_169,Siemens,,,,,Excluded
fCMR_Siemens_050,Siemens,,,,,True
fCMR_Siemens_105,Siemens,,,,,True
fCMR_Siemens_135,Siemens,,,,,True
fCMR_Siemens_167,Siemens,,,,,True
fCMR_Siemens_056,Siemens,,,,,True
fCMR_Siemens_094,Siemens,,,,,True
fCMR_Siemens_182,Siemens,,,,,True
fCMR_Siemens_181,Siemens,,,,,True
fCMR_Siemens_071,Siemens,,,,,Excluded
fCMR_Siemens_030,Siemens,,,,,True
fCMR_Siemens_041,Siemens,,,,,True
fCMR_Siemens_164,Siemens,,,,,True
fCMR_Siemens_145,Siemens,,,,,True
fCMR_Siemens_184,Siemens,,,,,True
fCMR_Siemens_173,Siemens,,,,,True
fCMR_Siemens_002,Siemens,,,,,True
fCMR_Siemens_153,Siemens,,,,,True
fCMR_Siemens_080,Siemens,,,,,True
fCMR_Siemens_109,Siemens,,,,,True
fCMR_Siemens_076,Siemens,,,,,True
fCMR_Siemens_194,Siemens,,,,,True
fCMR_Siemens_125,Siemens,,,,,True
fCMR_Siemens_026,Siemens,,,,,True
fCMR_Siemens_038,Siemens,,,,,True
fCMR_Siemens_149,Siemens,,,,,True
fCMR_Siemens_077,Siemens,,,,,True
fCMR_Siemens_116,Siemens,,,,,True
fCMR_Siemens_141,Siemens,,,,,True
fCMR_Siemens_072,Siemens,,,,,True
fCMR_Siemens_005,Siemens,,,,,True
fCMR_Siemens_003,Siemens,,,,,True
fCMR_Siemens_174,Siemens,,,,,True
fCMR_Siemens_177,Siemens,,,,,True
fCMR_Siemens_160,Siemens,,,,,Excluded
fCMR_Siemens_057,Siemens,,,,,True
fCMR_Siemens_165,Siemens,,,,,Excluded
fCMR_Siemens_196,Siemens,,,,,Excluded
fCMR_Siemens_172,Siemens,,,,,True
fCMR_Siemens_150,Siemens,,,,,True
fCMR_Siemens_195,Siemens,,,,,Excluded
fCMR_Siemens_022,Siemens,,,,,True
